,Unnamed: 0_x,sex,row_number,liters_drunk,age_kid,age_adult,age_old,drink,check_number,label,Unnamed: 0_y,session_start,morning,day,evening
0,0,0,79.0,2,0,0,1,0,3116,0,5385,21:00:00.000,NaN,NaN,Evening session
1,1,1,23.0,0,1,0,0,0,8118,0,2527,15:30:00.000,NaN,Day session,NaN
2,2,1,92.0,0,0,1,0,0,2264,1,440,22:15:00.000,NaN,NaN,Evening session
3,3,0,52.0,5,0,0,1,1,7640,1,3241,23:42:00.000,NaN,NaN,Evening session
4,4,0,57.0,2,0,1,0,1,8764,0,7251,15:30:00.000,NaN,Day session,NaN
5,5,1,15.0,1,0,1,0,1,6235,0,2820,08:42:00.000,Morning session,NaN,NaN
6,6,0,49.0,0,1,0,0,0,185,1,7160,06:00:00.000,Morning session,NaN,NaN
7,7,1,33.0,5,0,0,1,0,2970,1,1711,14:15:00.000,NaN,Day session,NaN
8,8,0,5.0,0,0,1,0,0,6494,0,8096,14:00:00.000,NaN,Day session,NaN
9,9,1,48.0,1,0,0,1,0,9971,1,6579,15:30:00.000,NaN,Day session,NaN
10,10,0,78.0,2,0,0,1,0,3592,0,7504,22:15:00.000,NaN,NaN,Evening session
11,11,1,32.0,2,0,1,0,1,2021,0,8475,07:00:00.000,Morning session,NaN,NaN
12,12,0,12.0,3,0,0,1,0,5675,1,7709,14:15:00.000,NaN,Day session,NaN
13,13,0,16.0,5,0,0,1,1,1637,0,7926,15:00:00.000,NaN,Day session,NaN
14,14,0,46.0,2,0,1,0,1,7830,1,6052,15:00:00.000,NaN,Day session,NaN
15,15,0,4.0,3,0,1,0,0,2174,1,3901,21:00:00.000,NaN,NaN,Evening session
16,19,1,100.0,2,1,0,0,0,2468,0,6522,23:42:00.000,NaN,NaN,Evening session
17,20,0,40.0,3,0,0,1,0,8793,0,3020,07:00:00.000,Morning session,NaN,NaN
18,21,Не указан,67.0,1,0,1,0,1,6158,0,8285,22:30:00.000,NaN,NaN,Evening session
19,22,1,9.0,4,0,1,0,1,6079,1,16,22:30:00.000,NaN,NaN,Evening session
20,23,1,8.0,4,0,0,1,0,839,1,2178,06:15:00.000,Morning session,NaN,NaN
21,24,0,95.0,1,0,0,1,1,1634,1,5401,22:30:00.000,NaN,NaN,Evening session
22,26,1,70.0,2,0,1,0,0,7091,0,7257,08:42:00.000,Morning session,NaN,NaN
23,28,1,52.0,3,0,1,0,0,6992,1,7684,23:42:00.000,NaN,NaN,Evening session
24,30,Не указан,65.0,1,1,0,0,0,2749,0,8944,06:00:00.000,Morning session,NaN,NaN
25,32,0,44.0,4,0,1,0,1,3258,1,4481,07:30:00.000,Morning session,NaN,NaN
26,33,0,6.0,5,0,0,1,0,6664,0,5042,07:30:00.000,Morning session,NaN,NaN
27,36,0,86.0,0,0,0,1,0,2104,1,1224,21:00:00.000,NaN,NaN,Evening session
28,37,1,40.0,4,0,1,0,0,1784,1,4220,07:30:00.000,Morning session,NaN,NaN
29,38,0,57.0,3,0,1,0,0,2744,0,4146,14:15:00.000,NaN,Day session,NaN
30,39,0,82.0,5,1,0,0,0,4306,1,7026,21:00:00.000,NaN,NaN,Evening session
31,40,1,4.0,2,0,1,0,0,814,0,6883,14:00:00.000,NaN,Day session,NaN
32,41,1,67.0,0,0,1,0,0,2285,0,9154,23:42:00.000,NaN,NaN,Evening session
33,42,1,52.0,3,0,1,0,1,3395,0,8325,15:30:00.000,NaN,Day session,NaN
34,43,0,33.0,2,0,0,1,0,8192,1,2817,06:15:00.000,Morning session,NaN,NaN
35,44,0,48.0,2,0,0,1,0,4185,0,6653,14:00:00.000,NaN,Day session,NaN
36,46,1,29.0,1,0,1,0,0,2884,0,2122,15:30:00.000,NaN,Day session,NaN
37,47,0,34.0,0,1,0,0,0,2506,0,9743,15:00:00.000,NaN,Day session,NaN
38,49,1,100.0,5,0,1,0,0,9165,1,6972,22:15:00.000,NaN,NaN,Evening session
39,50,0,96.0,4,0,0,1,0,1639,1,3803,07:00:00.000,Morning session,NaN,NaN
40,51,Не указан,100.0,0,0,1,0,1,9393,0,710,07:00:00.000,Morning session,NaN,NaN
41,52,Не указан,90.0,5,0,0,1,1,4095,0,7738,07:00:00.000,Morning session,NaN,NaN
42,53,0,50.0,4,0,1,0,0,8911,1,7628,08:42:00.000,Morning session,NaN,NaN
43,54,0,45.0,2,0,0,1,1,3519,1,4016,06:00:00.000,Morning session,NaN,NaN
44,55,1,42.0,5,0,0,1,1,1994,1,5606,22:15:00.000,NaN,NaN,Evening session
45,56,1,29.0,5,0,0,1,0,1522,1,4860,21:00:00.000,NaN,NaN,Evening session
46,57,1,20.0,5,0,0,1,0,4966,0,2639,07:30:00.000,Morning session,NaN,NaN
47,58,Не указан,59.0,4,0,0,1,0,6122,0,4848,08:42:00.000,Morning session,NaN,NaN
48,59,Не указан,93.0,2,1,0,0,0,9170,1,1130,22:15:00.000,NaN,NaN,Evening session
49,60,1,3.0,4,0,1,0,1,4029,1,5440,22:30:00.000,NaN,NaN,Evening session
50,61,1,18.0,1,0,0,1,0,4629,0,2753,15:00:00.000,NaN,Day session,NaN
51,62,Не указан,67.0,1,0,1,0,1,6829,0,8591,23:42:00.000,NaN,NaN,Evening session
52,63,1,96.0,3,0,0,1,1,1279,0,3855,14:00:00.000,NaN,Day session,NaN
53,64,1,89.0,3,0,0,1,1,567,1,6409,22:30:00.000,NaN,NaN,Evening session
54,65,1,33.0,1,0,0,1,1,3628,1,4321,07:30:00.000,Morning session,NaN,NaN
55,66,0,31.0,0,0,0,1,0,9976,0,1052,15:00:00.000,NaN,Day session,NaN
56,67,1,30.0,3,0,0,1,0,2632,0,9833,14:15:00.000,NaN,Day session,NaN
57,68,0,35.0,5,0,0,1,1,1230,1,903,14:00:00.000,NaN,Day session,NaN
58,69,0,95.0,2,0,1,0,0,85,0,5694,07:00:00.000,Morning session,NaN,NaN
59,70,0,53.0,5,0,1,0,0,5084,1,6645,15:00:00.000,NaN,Day session,NaN
60,71,Не указан,42.0,4,0,0,1,0,805,0,7147,21:00:00.000,NaN,NaN,Evening session
61,72,0,95.0,1,0,0,1,1,3003,1,9701,15:00:00.000,NaN,Day session,NaN
62,73,0,90.0,2,0,1,0,1,2593,0,7113,06:15:00.000,Morning session,NaN,NaN
63,74,0,58.0,2,0,0,1,1,3953,0,8110,21:00:00.000,NaN,NaN,Evening session
64,75,0,33.0,4,0,1,0,1,6224,1,3141,23:42:00.000,NaN,NaN,Evening session
65,76,0,13.0,5,0,0,1,0,8053,0,7516,22:15:00.000,NaN,NaN,Evening session
66,77,0,74.0,0,0,0,1,1,5697,1,9492,07:00:00.000,Morning session,NaN,NaN
67,78,0,64.0,2,0,1,0,0,3468,1,229,21:00:00.000,NaN,NaN,Evening session
68,79,0,65.0,4,1,0,0,0,6361,0,6263,22:15:00.000,NaN,NaN,Evening session
69,80,0,55.0,1,0,1,0,0,6532,1,8343,21:00:00.000,NaN,NaN,Evening session
70,81,Не указан,36.0,3,0,0,1,0,4512,1,3561,14:15:00.000,NaN,Day session,NaN
71,82,1,20.0,5,0,0,1,0,8357,0,3707,22:15:00.000,NaN,NaN,Evening session
72,83,Не указан,56.0,2,0,0,1,0,4438,1,9255,14:00:00.000,NaN,Day session,NaN
73,84,1,29.0,1,0,0,1,0,8335,0,4816,21:00:00.000,NaN,NaN,Evening session
74,85,1,78.0,4,0,1,0,0,8632,0,5383,22:30:00.000,NaN,NaN,Evening session
75,86,0,33.0,4,0,1,0,1,2025,1,7012,23:42:00.000,NaN,NaN,Evening session
76,87,0,39.0,5,0,1,0,0,3213,0,8592,21:00:00.000,NaN,NaN,Evening session
77,88,1,88.0,2,0,1,0,1,9372,0,6104,15:00:00.000,NaN,Day session,NaN
78,89,0,26.0,4,0,1,0,1,9127,1,4068,22:30:00.000,NaN,NaN,Evening session
79,90,0,77.0,5,0,0,1,0,7205,1,4157,07:30:00.000,Morning session,NaN,NaN
80,91,0,15.0,5,0,1,0,1,123,1,8572,07:00:00.000,Morning session,NaN,NaN
81,92,1,3.0,0,0,0,1,0,6824,1,1014,08:42:00.000,Morning session,NaN,NaN
82,93,1,56.0,0,0,1,0,1,7045,1,8702,07:30:00.000,Morning session,NaN,NaN
83,94,1,48.0,2,1,0,0,0,6760,1,5235,23:42:00.000,NaN,NaN,Evening session
84,96,0,47.0,1,1,0,0,0,3086,0,2053,22:15:00.000,NaN,NaN,Evening session
85,97,0,71.0,4,0,1,0,1,4139,1,1155,14:00:00.000,NaN,Day session,NaN
86,100,не указан,40.0,0,1,0,0,0,4444,0,3899,07:30:00.000,Morning session,NaN,NaN
87,101,1,96.0,2,0,1,0,0,7933,1,633,08:42:00.000,Morning session,NaN,NaN
88,102,0,79.0,4,0,0,1,1,5563,0,954,14:15:00.000,NaN,Day session,NaN
89,104,1,40.0,3,0,0,1,1,9401,0,1723,15:34:00.000,NaN,Day session,NaN
90,106,0,48.0,1,0,1,0,0,1486,1,7716,22:30:00.000,NaN,NaN,Evening session
91,107,0,78.0,4,0,1,0,1,2855,1,427,08:42:00.000,Morning session,NaN,NaN
92,108,0,67.0,1,0,1,0,0,2676,1,5074,21:00:00.000,NaN,NaN,Evening session
93,110,0,13.0,4,0,0,1,0,7858,1,1935,15:34:00.000,NaN,Day session,NaN
94,111,Не указан,5.0,1,0,0,1,1,4010,0,6089,14:00:00.000,NaN,Day session,NaN
95,112,0,89.0,1,0,1,0,0,5555,0,6184,23:42:00.000,NaN,NaN,Evening session
96,113,0,39.0,5,0,1,0,0,4056,0,7174,22:30:00.000,NaN,NaN,Evening session
97,114,Не указан,97.0,0,0,1,0,0,6454,0,2144,07:00:00.000,Morning session,NaN,NaN
98,115,1,73.0,1,1,0,0,0,2453,0,5892,06:00:00.000,Morning session,NaN,NaN
99,116,0,100.0,0,0,1,0,0,5624,1,5708,21:00:00.000,NaN,NaN,Evening session
100,117,0,14.0,3,0,0,1,1,2121,0,6971,06:15:00.000,Morning session,NaN,NaN
101,118,0,4.0,4,0,1,0,1,2473,1,6847,15:34:00.000,NaN,Day session,NaN
102,121,1,27.0,3,0,1,0,1,5953,0,7775,21:00:00.000,NaN,NaN,Evening session
103,122,1,0.0,2,0,1,0,0,639,1,9572,06:00:00.000,Morning session,NaN,NaN
104,123,1,96.0,4,1,0,0,0,9903,1,5325,23:42:00.000,NaN,NaN,Evening session
105,125,0,53.0,1,0,0,1,0,162,0,9902,14:15:00.000,NaN,Day session,NaN
106,126,0,2.0,3,0,1,0,0,6112,1,9022,06:15:00.000,Morning session,NaN,NaN
107,127,1,35.0,4,0,1,0,1,3139,1,2131,06:00:00.000,Morning session,NaN,NaN
108,128,0,19.0,3,0,0,1,1,4709,0,3037,23:42:00.000,NaN,NaN,Evening session
109,131,Не указан,65.0,3,0,1,0,1,2269,0,7290,07:30:00.000,Morning session,NaN,NaN
110,132,Не указан,100.0,4,0,0,1,1,1254,0,9923,22:30:00.000,NaN,NaN,Evening session
111,133,1,14.0,1,1,0,0,0,5079,1,9784,23:42:00.000,NaN,NaN,Evening session
112,134,1,72.0,3,1,0,0,0,5808,1,2930,22:15:00.000,NaN,NaN,Evening session
113,135,Не указан,97.0,2,1,0,0,0,2588,0,1875,07:30:00.000,Morning session,NaN,NaN
114,136,0,79.0,0,0,0,1,1,5989,0,2012,07:00:00.000,Morning session,NaN,NaN
115,137,1,58.0,0,0,0,1,0,8066,0,303,22:15:00.000,NaN,NaN,Evening session
116,138,1,100.0,2,0,0,1,0,2154,0,1706,06:15:00.000,Morning session,NaN,NaN
117,139,1,26.0,4,0,1,0,1,9388,1,8438,23:42:00.000,NaN,NaN,Evening session
118,140,0,30.0,1,0,1,0,1,3260,1,6599,21:00:00.000,NaN,NaN,Evening session
119,141,0,88.0,3,0,0,1,0,9580,0,5669,15:30:00.000,NaN,Day session,NaN
120,143,0,27.0,5,0,1,0,1,3944,1,17,22:30:00.000,NaN,NaN,Evening session
121,144,Не указан,100.0,5,0,0,1,1,536,1,9185,15:30:00.000,NaN,Day session,NaN
122,146,Не указан,36.0,2,0,1,0,1,296,1,3963,21:00:00.000,NaN,NaN,Evening session
123,147,0,65.0,4,0,1,0,1,1652,1,3828,15:30:00.000,NaN,Day session,NaN
124,149,1,0.0,1,0,1,0,0,830,0,3822,15:30:00.000,NaN,Day session,NaN
125,150,0,77.0,3,1,0,0,0,4520,1,5107,22:30:00.000,NaN,NaN,Evening session
126,154,0,48.0,3,0,0,1,1,4408,0,2869,15:00:00.000,NaN,Day session,NaN
127,155,1,83.0,5,1,0,0,0,8163,1,5493,15:30:00.000,NaN,Day session,NaN
128,156,Не указан,12.0,1,1,0,0,0,4286,1,2477,22:30:00.000,NaN,NaN,Evening session
129,158,1,29.0,2,0,0,1,0,2608,0,8203,08:42:00.000,Morning session,NaN,NaN
130,159,0,87.0,2,0,1,0,1,745,1,6140,06:15:00.000,Morning session,NaN,NaN
131,160,1,100.0,3,0,0,1,0,5595,0,4338,08:42:00.000,Morning session,NaN,NaN
132,161,0,100.0,5,0,1,0,0,2294,1,1932,07:30:00.000,Morning session,NaN,NaN
133,163,1,42.0,2,0,1,0,0,2595,0,2022,15:00:00.000,NaN,Day session,NaN
134,164,Не указан,99.0,5,1,0,0,0,5696,1,3979,15:34:00.000,NaN,Day session,NaN
135,165,1,70.0,3,0,0,1,0,5902,1,9158,23:42:00.000,NaN,NaN,Evening session
136,166,0,7.0,2,1,0,0,0,4800,1,3451,14:15:00.000,NaN,Day session,NaN
137,167,1,8.0,0,0,1,0,0,9859,1,1951,21:00:00.000,NaN,NaN,Evening session
